Alle Werte in EUR;Stand am 01.01.2017;Zugang;Abgang;Umbuchung;Minderung durch Zuschüsse;Stand am 31.12.2017
Gewerbliche Schutzrechte und ähnliche Rechte und Werte;171213.77;66973.27;0.00;0.00;0.00;238187.04
Summe Immaterielle Vermögensgegenstände;171213.77;66973.27;0.00;0.00;0.00;238187.04
Grundstücke und Bauten;34624858.18;1872434.38;0.00;8782710.14;0.00;45280002.70
Technische Anlagen und Maschinen;4158023.70;44912.52;0.00;72948.95;0.00;4275885.17
Andere Anlagen, Betriebs- und Geschäftsausstattung;5507595.51;369478.15;-101443.57;137013.43;0.00;5912643.52
Geleistete Anzahlungen und Anlagen im Bau;5197892.39;7617271.85;0.00;-8992672.52;0.00;3822491.72
Summe Sachanlagen;49488369.78;9904096.90;-101443.57;0.00;0.00;59291023.11
Ausleihungen an verbundene Unternehmen;0.00;2000000.00;0.00;0.00;0.00;2000000.00
Genossenschaftsanteile;0.00;600.00;0.00;0.00;0.00;600.00
Wertpapiere des Anlagevermögens;0.00;0.00;0.00;0.00;0.00;0.00
Summe Finanzanlagen;0.00;2000600.00;0.00;0.00;0.00;2000600.00
Gesamt;49659583.55;11971670.17;-101443.57;0.00;0.00;61529810.15
