Country_Code,State,English_Translation,State_Code
DE,Baden-Württemberg,Baden-Württemberg,BW
DE,Bayern,Bavaria,BY
DE,Berlin,Berlin,BE
DE,Brandenburg,Brandenburg,BB
DE,Bremen,Bremen,HB
DE,Hamburg,Hamburg,HH
DE,Hessen,Hesse,HE
DE,Mecklenburg-Vorpommern,Mecklenburg-Western Pomerania,MV
DE,Niedersachsen,Lower Saxony,NI
DE,Nordrhein-Westfalen,North Rhine-Westphalia,NW
DE,Rheinland-Pfalz,Rhineland-Palatinate,RP
DE,Saarland,Saarland,SL
DE,Sachsen,Saxony,SN
DE,Sachsen-Anhalt,Saxony-Anhalt,ST
DE,Schleswig-Holstein,Schleswig-Holstein,SH
DE,Thüringen,Thuringia,TH
